Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95
1980,1,32.8,26.2,39.2,24.2,41.2,23.2,42.2,1,2.3,1.3,2.6,1.3,3.3,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0,2.6,1.3,3.3,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,1.5,1.8,1.2,2,0.9,2.3,1,1.2,0.9,1.2,0.6,1.5,0.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6,2.2,2.8,1.6,2.8,1.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,1.4,1.9,1.1,2.2,0,2.7
1983,1,7.7,8.1,11.4,7.5,12.5,7,13,2,8.1,7.3,10,6.8,10.6,6.5,10.8,1,5.2,4.2,6.2,4.2,6.5,3.9,6.5,0,0,0,0,0,0,0,0,1,7.8,5.5,7.8,4.9,8.1,4.7,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6,2.5,1.2,1.9,2.7,1.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,2.4,3.1,2.2,3.4,1.9,3.6,0,0,0,0,0,0,0,0,3,8.8,5.7,8.7,5.5,9.1,5.1,9.7,0,0,0,0,0,0,0,0,1,2,2.2,2.2,1.9,2.4,1.9,2.4
1986,1,4.2,4.6,6,4.4,6.5,4.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.9,1.2,0.9,1.4,0.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,44,33.4,53.5,31,55.9,29.9,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,6.3,6.5,8.4,6.3,8.8,6.1,9,0,0,0,0,0,0,0,0,1,4.2,3.2,5.3,3.2,5.3,2.9,5.5,1,1.2,1.1,1.3,1.1,1.3,0.8,1.5,1,18.9,17,19.7,16.4,20.4,16.2,20.8,0,0,0,0,0,0,0,0,1,1.4,1.3,1.7,1.3,1.7,1.3,1.9
